path	relative_to	method	data_type	cohort	modality	source
analysis_result/single_context/MSBB_pQTL/export/summary/context_specific/MSBB_BM36_pQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	pQTL	MSBB	BM_36	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MSBB/pQTL/LR/	AD_LOCI_ROOT	LR	pQTL	MSBB	-	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MSBB/pQTL/interaction/msex/	AD_LOCI_ROOT	msex interaction	pQTL	MSBB	-	FunGen-xQTL release (Synapse syn68872650)
analysis_result/finemapping_twas/fsusie/export/summary/context_specific/MSBB_mQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	fSuSiE_finemapping	mQTL	MSBB	Brain	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MetaBrain/export/summary/context_specific/Metabrain_Basalganglia.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MetaBrain	Basalganglia	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MetaBrain/export/summary/context_specific/Metabrain_Cerebellum.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MetaBrain	Cerebellum	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MetaBrain/export/summary/context_specific/Metabrain_Cortex.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MetaBrain	Cortex	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MetaBrain/export/summary/context_specific/Metabrain_Hippocampus.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MetaBrain	Hippocampus	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MetaBrain/export/summary/context_specific/Metabrain_Spinalcord.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MetaBrain	Spinalcord	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MiGA_eQTL/export/summary/context_specific/MiGA_GFM_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MiGA	GFM	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MiGA/eQTL/GFM/LR/	AD_LOCI_ROOT	LR	eQTL	MiGA	GFM	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MiGA/eQTL/GFM/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	MiGA	GFM	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MiGA_eQTL/export/summary/context_specific/MiGA_GTS_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MiGA	GTS	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MiGA/eQTL/GTS/LR/	AD_LOCI_ROOT	LR	eQTL	MiGA	GTS	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MiGA/eQTL/GTS/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	MiGA	GTS	FunGen-xQTL release (Synapse syn68872650)
analysis_result/single_context/MiGA_eQTL/export/summary/context_specific/MiGA_SVZ_eQTL.exported.toploci.bed.gz	AD_LOCI_ROOT	single_context_finemapping	eQTL	MiGA	SVZ	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MiGA/eQTL/SVZ/LR/	AD_LOCI_ROOT	LR	eQTL	MiGA	SVZ	FunGen-xQTL release (Synapse syn68872650)
analysis_result/marginal_significant_qtl/cis_association/MiGA/eQTL/SVZ/interaction/msex/	AD_LOCI_ROOT	msex interaction	eQTL	MiGA	SVZ	FunGen-xQTL release (Synapse syn68872650)
